,epoch,train_auc_mean,train_auc_std,train_mcc_mean,train_mcc_std,test_auc_mean,test_auc_std,test_mcc_mean,test_mcc_std
0,1,0.5260866,0.012224269274684701,0.07650280000000001,0.008532450158073003,0.519122,0.03005574175594405,0.109403,0.04978056080439432
1,2,0.604066,0.019802811403939576,0.1573784,0.016185054921130166,0.5040403999999999,0.02348007545345626,0.0851302,0.0391133753299303
2,3,0.6932228,0.016157582715245474,0.2442822,0.0214282666284513,0.4940166,0.018190370867577146,0.0641876,0.022119856278918267
3,4,0.7705924,0.014818483265840636,0.37214559999999997,0.02839643447336303,0.468913,0.037097854944726914,0.052494200000000005,0.036074942081727596
4,5,0.830161,0.01461206513467552,0.48134259999999995,0.020013769055327858,0.493775,0.032856743097878734,0.048367400000000005,0.047317516511330135
5,6,0.8762084,0.01457340004254325,0.560915,0.027327154645151033,0.48166919999999996,0.05142102940140346,0.0375958,0.04946641661976335
6,7,0.9058833999999999,0.013055335951250002,0.6248592000000001,0.02714123823999193,0.4932174,0.049119246724680134,0.0433738,0.04566902108869863
7,8,0.9312530000000001,0.015152700320404965,0.6873014000000001,0.03807620385884075,0.49801799999999996,0.044626144685598855,0.06974899999999999,0.051762784401536976
8,9,0.948977,0.011212303799844168,0.736915,0.03472409611494591,0.5028238,0.05104923694532567,0.0368754,0.05065497483762084
9,10,0.9609818000000001,0.0111358859863057,0.7775483999999999,0.043053978112364936,0.5061116,0.037377940450217424,0.056989599999999994,0.03716761006979061
10,11,0.9692386000000001,0.009689320063864143,0.8120328000000001,0.04217198207578108,0.5026683999999999,0.043467379266525843,0.0537486,0.04981766259370265
11,12,0.9767528000000001,0.008175909441768506,0.8415267999999999,0.0386597240768736,0.5130572,0.041189877563547105,0.05250319999999999,0.06005265705362253
12,13,0.981316,0.007355988852628802,0.8586145999999999,0.03895577635344982,0.5047748000000001,0.03661700174372555,0.053806200000000005,0.05593594526956705
13,14,0.9845010000000001,0.006292822061682668,0.8774424,0.03562029579888408,0.5056974000000001,0.024043556045227555,0.012553600000000002,0.028070702962341362
14,15,0.987406,0.0056081611513935275,0.8934252,0.03174794449566776,0.5077842,0.034679584825946255,0.040699799999999994,0.05684133557720121
15,16,0.9911436,0.003768037858090095,0.9144083999999999,0.02619298161340178,0.5029744,0.022586947409953408,0.0,0.0
16,17,0.9916458,0.004345617643097492,0.918819,0.035022245123635325,0.509235,0.04092642897321974,0.0391984,0.0572648399351644
17,18,0.9937846,0.0032026076562701117,0.9312568000000001,0.02428809470090231,0.5037429999999999,0.03519778154230748,0.0244074,0.03350989313322261
18,19,0.9950151999999999,0.0027049645469026037,0.9377755999999999,0.024190689837208044,0.5062046,0.040722318970068505,0.0285924,0.04436563499827315
19,20,0.9955752,0.0020766038861564405,0.9418238000000001,0.021606468746650818,0.5099964,0.03898032786291056,0.0232926,0.0520838369727116
